t,lateral_acc_mag,jerk_mag,risk_rate,torque_norm
1.8060,32.046383,40451.537131,37271.534940,85.5670
1.8080,44.430916,35408.529395,14376.764539,140.1592
1.8100,28.236243,50252.517440,71029.767422,151.9369
1.8120,25.415621,44235.673167,53622.270222,127.0940
1.8140,28.230861,44220.225345,53625.604723,152.8752
1.8160,25.423948,44233.494952,53620.262785,123.9527
1.8180,25.432140,23644.565804,47257.798073,94.1466
1.8200,17.620790,40776.552341,32670.663486,156.9780
1.8220,25.002418,42648.667878,38562.797956,82.6842
1.8240,19.002119,20634.477580,41200.062435,144.4930
1.8260,20.351118,39484.589185,30795.645203,107.3337
1.8280,16.743049,40985.465552,37094.019553,137.9669
1.8300,2.816376,8746.289311,17386.200173,59.7815
1.8320,17.697888,38898.540400,17894.315499,171.5420
1.8340,14.238313,40477.710696,31914.602365,48.4021
1.8360,2.481071,6003.510163,11992.308768,130.1208
1.8380,20.548834,38919.230807,23054.195441,124.4568
1.8400,16.800408,41003.766575,37367.173185,125.7191
1.8420,21.047538,18928.063173,37830.498568,49.4070
1.8440,49.320155,41235.097918,42633.060582,152.0210
1.8460,17.813376,47550.611009,61301.843042,124.9908
1.8480,21.087281,41531.554022,38926.936724,151.9590
1.8500,17.824107,41558.971921,38912.047203,127.7802
1.8520,34.891019,9801.698999,19225.829113,151.4692
1.8540,17.569593,46905.502596,52403.091711,151.0935
1.8560,14.701856,40349.302599,32228.770183,137.5968
1.8580,28.277001,43099.124809,41458.087305,154.2519
1.8600,27.299362,47570.404006,55504.446572,126.1028
1.8620,28.287729,47565.017920,55504.777578,155.6534
1.8640,27.308511,47587.720512,55521.273038,124.6804
1.8660,22.015354,23333.007830,46632.511451,148.4499
1.8680,30.831477,43816.089294,50625.747181,133.2254
1.8700,28.050325,45829.028419,58880.126224,142.3952
1.8720,23.775442,24712.063082,49215.916132,110.8397
1.8740,28.311515,46376.501105,49226.653797,166.7198
1.8760,27.196831,47574.796220,55445.569616,104.7288
1.8780,22.031987,23305.449334,46577.094918,132.9687
1.8800,21.324326,40692.286499,35699.087153,151.5051
1.8820,30.576449,44259.508030,47887.927064,42.0960
1.8840,5.403196,17758.609415,35521.143756,127.5949
1.8860,17.880919,38638.889264,19493.209972,124.4995
1.8880,14.823177,40212.336775,32683.241229,127.1697
1.8900,4.489019,7155.925057,14231.700019,25.3375
1.8920,15.087901,37091.281888,14089.086656,147.2037
1.8940,17.457374,35928.699433,8422.494387,116.3530
1.8960,26.591051,42400.413135,38248.358981,152.6298
1.8980,14.462185,42711.462405,39019.885498,97.6134
1.9000,17.899731,40505.956052,32348.497059,153.5818
1.9020,14.479836,40523.170016,32342.525691,90.6874
1.9040,2.562382,6119.597571,12223.023321,156.9449
1.9060,20.620934,38907.703234,23184.805316,98.7929
1.9080,16.911259,40990.516694,37537.118909,147.0829
1.9100,20.677359,40981.325790,37610.519820,101.6754
1.9120,16.960738,41004.957633,37636.612050,146.9355
1.9140,2.861576,8835.963164,17550.554942,66.1301
1.9160,17.977885,9341.808557,18127.932634,149.9379
1.9180,20.479693,35241.757050,3515.114523,111.3150
1.9200,48.476424,46671.509046,56782.860677,104.3536
1.9220,17.783145,47887.295248,60090.047401,170.9360
1.9240,14.946105,40403.985889,32682.924316,100.7649
1.9260,4.867859,7026.064461,14016.163314,129.8680
1.9280,21.331097,39447.588160,25425.295165,151.4782
1.9300,18.008839,41602.262537,39343.476972,127.1104
1.9320,5.447427,10209.827962,20357.316124,91.1551
1.9340,28.407750,41777.359768,32645.531347,174.6458
1.9360,27.307692,47572.636391,55653.888203,91.8563
1.9380,22.035977,23311.233354,46591.948248,125.3909
1.9400,14.823881,38071.813063,28410.804808,121.6274
1.9420,17.963870,35676.810265,8834.565558,167.8645
1.9440,21.540642,41596.661011,39533.813512,126.7640
1.9460,17.999385,41626.813893,39546.560712,155.8663
1.9480,21.573187,41620.150666,39598.358065,128.1968
1.9500,18.028354,41647.229092,39601.966742,151.5951
1.9520,5.671706,10290.494478,20518.750328,125.1915
1.9540,32.788918,41600.400207,37302.188144,101.0138
1.9560,15.042856,43021.583763,46050.813257,145.8269
1.9580,4.836560,7267.343311,14442.387039,75.8794
1.9600,21.367502,39668.418195,25306.144829,164.4974
1.9620,17.756869,41742.247408,39135.384061,57.8177
1.9640,41.553808,20408.082339,40857.238346,106.5370
1.9660,20.543042,44177.452404,48688.614563,171.9889
1.9680,16.861990,41144.322827,37421.780177,96.0156
1.9700,2.707987,8570.225207,17064.676389,130.8654
1.9720,38.839742,44084.967217,39283.342411,151.7670
1.9740,29.484845,49005.424519,60748.153154,38.5292
1.9760,17.964314,42443.141263,42823.123866,174.9252
1.9780,14.945535,40602.408784,32873.658987,35.4502
1.9800,2.784860,6236.154482,12456.661318,125.7196
1.9820,14.924573,36476.156231,12378.163316,82.0929
1.9840,17.189981,35222.404248,3588.722198,169.2785
1.9860,20.456525,40949.557969,37658.528799,91.5641
1.9880,17.211997,40984.928539,37649.826545,156.6724
1.9900,20.473989,40983.481675,37694.620920,92.3353
1.9920,17.227346,41015.555854,37676.824407,151.8003
1.9940,20.487465,41012.584116,37720.016841,93.6255
1.9960,17.235908,41041.389282,37693.004132,155.8193
1.9980,2.869051,8832.929877,17548.885044,88.3276
2.0000,2.889696,2324.136142,4590.938027,149.9672
2.0020,20.551273,38955.820844,23411.446000,103.1223
2.0040,48.322301,46664.129293,56641.826257,113.1756
2.0060,22.174036,34418.437955,68845.562409,140.6590
2.0080,21.471328,40733.921228,36143.782734,142.6446
2.0100,17.969006,41624.044715,39452.372870,132.9868
2.0120,5.664726,10206.919000,20350.661061,102.6227
2.0140,17.912897,38914.179308,19674.877795,174.5199
2.0160,14.972102,40439.892469,32830.470548,94.8579
2.0180,4.806447,7077.339312,14119.329275,129.9204
2.0200,21.646432,39478.337892,25721.403152,151.9744
2.0220,18.007672,41650.169111,39681.417979,124.5882
2.0240,5.554260,10249.926769,20433.623916,93.0514
2.0260,18.027932,38886.981509,19645.803524,174.8630
2.0280,14.889072,40403.983047,32881.766032,89.7454
2.0300,38.567297,13202.676697,26226.505935,174.8616
2.0320,21.884633,48887.535471,60399.502412,112.3085
2.0340,18.125380,41660.502456,40040.880477,174.8582
2.0360,21.959134,41655.673154,40125.323154,129.2819
2.0380,30.895757,44282.190477,48909.322706,105.2860
2.0400,21.761147,44318.425876,48698.099568,156.9593
2.0420,18.043474,41826.098028,39816.855945,82.2656
2.0440,21.748036,41794.761491,39821.377603,159.8431
2.0460,18.030165,41796.366408,39783.690993,73.0594
2.0480,19.496625,10539.972358,21091.724471,138.7912
2.0500,41.528455,45426.067583,49353.541154,108.8717
2.0520,28.481239,49899.582376,63145.112254,107.1069
2.0540,20.596668,43085.753554,44697.005401,165.9876
2.0560,17.368078,41212.382662,37944.061924,108.1984
2.0580,2.812976,8675.429674,17271.428267,131.2731
2.0600,2.864983,2207.277377,4411.350183,100.6357
2.0620,31.091680,41225.512055,33656.255668,125.6085
2.0640,17.374857,43011.595077,44736.154013,125.7769
2.0660,2.831365,8851.934871,17561.797542,37.7052
2.0680,26.691071,41253.306686,29004.017994,175.0252
2.0700,25.441745,46620.397076,52053.091956,15.9045
2.0720,42.813710,23305.360979,46652.352455,174.6360
2.0740,29.215472,51039.979448,71274.849066,61.8494
2.0760,26.083494,44320.939851,55312.472548,174.6345
2.0780,29.260556,44321.998931,55349.349369,91.0049
2.0800,26.127323,44356.366875,55397.139158,162.3735
2.0820,29.302985,44356.320147,55433.434474,92.6945
2.0840,31.806986,39972.677454,37371.664465,126.7017
2.0860,18.301277,43161.369225,46379.927892,156.0703
2.0880,15.373404,40481.707256,33598.153245,125.9455
2.0900,5.098150,7271.869814,14499.981209,146.2814
2.0920,21.970319,39508.743070,26305.034629,136.2216
2.0940,18.350202,41680.453873,40326.963761,141.4407
2.0960,5.729816,10376.413621,20673.377576,109.1107
2.0980,18.343323,38927.740709,20265.498636,168.1206
2.1000,15.274593,40445.581906,33561.248029,104.9373
2.1020,5.171182,7239.615332,14431.962703,131.6107
2.1040,22.152201,39528.705358,26533.265317,152.1472
2.1060,18.421164,41707.145928,40594.381307,128.4232
2.1080,5.649406,10440.631882,20797.573691,92.6816
2.1100,38.511358,44074.246937,39198.747317,174.8290
2.1120,15.411693,47072.158311,53579.360645,91.6925
2.1140,5.383757,7173.144437,14297.075212,130.8392
2.1160,21.981855,39553.272023,26632.033858,152.0669
2.1180,31.068191,44301.347852,49193.696978,24.3736
2.1200,35.602209,18298.927941,36516.503632,174.8107
2.1220,28.901332,49329.733562,59929.484218,60.7117
2.1240,28.479478,41224.138315,33941.712070,152.4344
2.1260,20.858301,43094.988254,44945.675536,152.9977
2.1280,17.563556,41280.339837,38417.068338,140.0497
2.1300,20.807388,41253.894730,38389.263595,154.2552
2.1320,17.511610,41261.864677,38308.331047,127.5660
2.1340,20.753993,41234.466996,38280.521686,155.9345
2.1360,17.454439,41239.775635,38191.817337,122.7492
2.1380,24.974302,15368.339321,30739.564291,80.9600
2.1400,26.856978,45346.936626,48895.787131,162.5078
2.1420,25.681144,46713.949558,52446.212255,71.0200
2.1440,19.423112,20952.196556,41849.609240,138.3033
2.1460,29.388663,42354.847655,46473.130330,114.3012
2.1480,26.261203,44426.437965,55661.345524,133.5499
2.1500,21.191408,22294.623404,44263.575946,49.9728
2.1520,33.736978,40137.754521,21114.573896,152.8904
2.1540,18.412646,44298.545580,49200.542974,128.3294
2.1560,5.763616,10365.679257,20646.705833,94.5305
2.1580,18.462678,38967.636637,20486.521310,174.8256
2.1600,15.422156,40503.557070,33835.590299,93.2876
2.1620,5.151001,7273.833275,14501.959868,125.9235
2.1640,14.538931,36787.306733,13535.553457,118.2520
2.1660,18.519046,35641.384834,10022.272325,171.0534
2.1680,22.273237,41685.773771,40826.473413,125.9915
2.1700,18.586940,41718.345431,40873.646733,157.8273
2.1720,22.336235,41714.467065,40953.744433,126.5893
2.1740,18.647605,41743.949390,40991.002830,151.8593
2.1760,22.394385,41738.736474,41068.907290,127.4534
2.1780,18.700946,41765.143882,41096.163786,154.3225
2.1800,5.818693,10570.991361,21051.798194,124.8184
2.1820,18.598258,38926.906007,20628.608853,157.3163
2.1840,15.457439,40429.527207,33995.830569,125.8131
