t,lat_acc,jerk,lat_jerk,risk_rate
4.0780,2.514587,2999.166061,2751.864245,4955.870227
4.0800,2.560927,18444.797461,3780.000295,6806.561458
4.0820,3.090078,20727.338194,15423.187251,27764.827129
4.0840,3.420365,18938.146485,12924.685061,23267.853474
4.0860,2.898640,20289.776464,15646.566504,28166.718346
4.0880,3.055876,11810.908124,9980.521246,17967.994120
4.0900,2.805299,21238.362551,8782.781493,15811.811987
4.0920,3.603750,23815.467363,19171.878358,34512.984794
4.0940,3.658351,21116.822495,15692.684556,28250.490552
4.0960,3.369435,18663.916701,13231.183104,23819.499022
4.0980,3.279782,9140.911368,6845.752182,12325.633709
4.1000,3.216801,20206.443220,6793.117355,12230.828041
4.1020,3.476788,19380.482886,14049.582455,25292.725207
4.1040,3.396645,19353.606892,14035.385795,25267.091076
4.1060,3.323800,18448.164284,3920.921603,7060.982685
4.1080,3.057786,13149.415641,12499.865583,22502.815836
4.1100,3.112670,24223.692484,18912.217819,34045.104743
4.1120,2.910771,22346.950951,9086.742222,16359.046770
4.1140,2.864295,2983.499592,2729.180897,4915.389910
4.1160,2.721021,3164.715809,1538.804865,2772.569777
4.1180,2.689834,21627.059627,6168.801518,11106.532568
4.1200,2.534595,24952.658282,7816.144313,14071.594359
4.1220,2.466795,3970.636886,3889.701371,7003.929264
4.1240,2.369007,25309.076352,451.693089,815.416567
4.1260,2.310597,25312.101771,455.951903,823.024023
4.1280,2.470779,22276.566753,9841.478789,17717.132598
4.1300,2.168167,24707.252776,19883.203720,35791.934864
4.1320,2.025615,14376.439768,13646.871459,24566.394241
4.1340,2.241469,18874.574360,4271.605473,7691.131320
4.1360,1.891377,18627.964885,13285.337451,23915.498789
4.1380,2.682062,21473.366102,17725.269610,31908.167359
4.1400,3.438981,18816.078406,13402.842835,24128.556083
4.1420,3.343048,13814.865452,12850.072879,23133.474230
4.1440,3.320683,20204.167494,7001.808088,12606.575241
4.1460,3.132641,18912.784852,14107.471259,25396.580907
4.1480,3.100635,18911.950493,14116.635307,25413.044187
4.1500,3.049752,18422.136347,4128.505749,7434.360101
4.1520,2.742662,13063.058202,12380.167668,22287.044463
4.1540,3.557755,24796.503161,21219.325838,38198.344263
4.1560,2.628953,27362.605250,22155.182403,39881.957279
4.1580,3.288669,20084.129426,19843.055899,35720.789287
4.1600,2.428709,33389.396763,18702.859914,33667.576553
4.1620,3.100072,33400.855629,18706.386365,33674.595528
4.1640,2.923557,11196.191661,11025.900214,19849.543943
4.1660,3.105216,18894.143752,4415.431274,7950.881510
4.1680,2.718665,18588.005872,13317.664729,23974.515177
4.1700,2.892103,18585.501070,13319.757803,23978.456148
4.1720,2.538416,18584.698355,13321.240088,23980.770574
4.1740,2.476499,9092.172995,6676.574929,12020.311371
4.1760,2.517492,20199.362583,7157.194147,12885.466956
4.1780,2.332933,18912.354288,14224.062637,25605.645680
4.1800,3.429807,23407.055568,20483.292366,36873.356067
4.1820,2.888128,26077.735150,23437.341894,42190.103537
4.1840,3.047429,12011.363062,10116.753945,18213.204530
4.1860,2.783812,21199.891147,9087.792656,16360.810592
4.1880,2.967750,19474.752285,7011.957746,12624.491692
4.1900,2.434920,13324.631565,12130.817510,21837.906437
4.1920,2.630220,19594.835417,14893.201889,26810.393619
4.1940,2.459244,19142.670657,5424.122199,9765.879203
4.1960,2.409662,4422.857721,4364.308863,7858.165615
