mode,name,kp_scale,kd_scale,task_kp,time_scale,use_task_pid,use_wrist_pid,sim_time,risk_integral,tilt_integral,reach_integral,score
full_body,3,0.8,0.8,0.4,2.0,True,True,2.8020,77839.429659,10.181704,0.371402,26443481.551246
full_body,4,0.8,0.8,0.6,0.5,True,True,11.2000,306760.210128,39.251064,1.093522,103912738.783828
full_body,5,0.8,0.8,0.6,1.0,True,True,5.6020,156748.442802,20.205148,0.604322,53146511.694283
full_body,6,0.8,0.8,0.6,1.5,True,True,3.7340,107371.724805,13.835221,0.439960,36406081.366672
full_body,7,0.8,0.8,0.6,2.0,True,True,2.8020,77123.992380,10.677211,0.357377,26376099.832177
full_body,8,0.8,1.0,0.4,0.5,True,True,11.2000,307125.595838,37.771434,1.168764,103585989.938222
full_body,9,0.8,1.0,0.4,1.0,True,True,5.6020,154856.906956,19.576235,0.662206,52396165.576769
full_body,10,0.8,1.0,0.4,1.5,True,True,3.7340,104850.206003,13.490923,0.493576,35551697.749160
full_body,11,0.8,1.0,0.4,2.0,True,True,2.8020,77382.899530,10.474031,0.402559,26397336.037616
full_body,12,0.8,1.0,0.6,0.5,True,True,11.2000,314778.032232,39.696326,1.116699,106453981.856344
full_body,13,0.8,1.0,0.6,1.0,True,True,5.6020,159717.923718,20.491524,0.632094,54126045.883252
full_body,14,0.8,1.0,0.6,1.5,True,True,3.7340,105743.688316,14.155551,0.469227,36016696.096275
full_body,15,0.8,1.0,0.6,2.0,True,True,2.8020,76806.700169,10.984456,0.384928,26375840.697532
full_body,16,0.8,1.2,0.4,0.5,True,True,11.2000,307741.371906,38.188916,1.191580,103898248.773558
full_body,17,0.8,1.2,0.4,1.0,True,True,5.6020,160642.221136,19.875196,0.694092,54224636.540944
full_body,18,0.8,1.2,0.4,1.5,True,True,3.7340,101762.198593,13.792320,0.520327,34718389.699972
full_body,19,0.8,1.2,0.4,2.0,True,True,2.8020,74960.304158,10.731500,0.426875,25750229.940985
full_body,20,0.8,1.2,0.6,0.5,True,True,11.2000,315621.265751,40.156670,1.145224,106847907.578628
full_body,21,0.8,1.2,0.6,1.0,True,True,5.6020,155170.225384,20.889797,0.668563,52884865.309818
full_body,22,0.8,1.2,0.6,1.5,True,True,3.7340,103184.536190,14.459036,0.498818,35342954.924915
full_body,23,0.8,1.2,0.6,2.0,True,True,2.8020,76027.930158,11.239001,0.411663,26221246.791641
full_body,24,1.0,0.8,0.4,0.5,True,True,11.2000,305324.834040,35.911151,1.085840,102479384.014887
full_body,25,1.0,0.8,0.4,1.0,True,True,5.6020,155282.007213,18.402060,0.588610,52164083.543194
full_body,26,1.0,0.8,0.4,1.5,True,True,3.7340,100247.067850,12.596008,0.424937,33895418.082374
full_body,27,1.0,0.8,0.4,2.0,True,True,2.8020,76227.952790,9.703616,0.342084,25813680.134259
full_body,28,1.0,0.8,0.6,0.5,True,True,11.2000,312173.790142,37.805438,1.036578,105097430.606058
full_body,29,1.0,0.8,0.6,1.0,True,True,5.6020,157064.246802,19.369364,0.563724,52986458.006495
full_body,30,1.0,0.8,0.6,1.5,True,True,3.7340,106305.384273,13.231580,0.405862,35901677.101325
full_body,31,1.0,0.8,0.6,2.0,True,True,2.8020,78043.163268,10.162836,0.326777,26494478.462587
full_body,32,1.0,1.0,0.4,0.5,True,True,11.2000,308360.025629,36.231967,1.107680,103488370.124484
full_body,33,1.0,1.0,0.4,1.0,True,True,5.6020,162615.557469,18.665235,0.613971,54445636.950351
full_body,34,1.0,1.0,0.4,1.5,True,True,3.7340,111997.936810,12.825127,0.451069,37492027.423055
