trial_index,condition,ori_weight,use_6d_ik,avg_ee_speed,max_ee_speed,avg_pos_error,max_pos_error,avg_mix_angle_deg,max_mix_angle_deg,integrated_mix_score,sim_time_s
23,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
24,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
25,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
26,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
27,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
28,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
29,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
30,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
31,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
32,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
33,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
34,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
35,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
36,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
37,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
38,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
39,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
40,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
41,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
42,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
43,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
44,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
45,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
46,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
47,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
48,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
49,3d_ik,0.0,0,0.3726135668660266,1.2976659507211863,0.0781372166052293,0.324587732771217,34.3267536095674,43.2144675885076,96.18356361400784,5.301999999999638
50,6d_ik,0.0,1,0.3796253821705738,1.2976659507211863,0.07660698154777407,0.31751835736226325,53.999201613499814,69.2434642534861,151.30576292102648,5.301999999999638
51,6d_ik,0.02040816326530612,1,0.37918993958129815,1.4121617813740015,0.07629868190280951,0.32300302482908233,49.07945589749758,57.64730837282358,137.52063542478822,5.301999999999638
52,6d_ik,0.04081632653061224,1,0.37737568783279724,1.306655411900792,0.07675447386866267,0.31766824495898605,42.65818259482542,46.78897307995376,119.52822763070083,5.301999999999638
53,6d_ik,0.061224489795918366,1,0.37823969669997837,1.2976659507211863,0.07652878303740343,0.31692984011212816,38.19125928546836,41.2614780721088,107.01190851788235,5.301999999999638
54,6d_ik,0.08163265306122448,1,0.37812565095516293,1.3809020597633612,0.0761648510961259,0.31719681653878046,34.702382628848376,37.51542711933032,97.23607612603315,5.301999999999638
55,6d_ik,0.10204081632653061,1,0.37973468038193714,1.5458784333563003,0.0753857467898772,0.32281284449004294,31.769352065942947,37.50096055259259,89.01772448877213,5.301999999999638
56,6d_ik,0.12244897959183673,1,0.37470461381782993,1.2976659507211863,0.07900352647246449,0.331628736214442,29.136737967135414,37.50096055259259,81.64113978391343,5.301999999999638
57,6d_ik,0.14285714285714285,1,0.37877981399164246,1.2976659507211863,0.07734263297037076,0.3282807062149012,26.2432722863331,37.50096055259259,73.53364894630535,5.301999999999638
58,6d_ik,0.16326530612244897,1,0.37811558306234283,1.2976659507211863,0.07785041186032161,0.3260846503371952,23.815848120594023,37.50096055259259,66.73200643390444,5.301999999999638
59,6d_ik,0.1836734693877551,1,0.37943744512513483,1.2976659507211863,0.0770402602751833,0.32171928816012874,22.713773161783628,37.50096055259259,63.64399239931773,5.301999999999638
60,6d_ik,0.20408163265306123,1,0.37959170638664635,1.2976659507211863,0.07691450122121674,0.322154332832429,20.232443428865587,37.50096055259259,56.69130648768137,5.301999999999638
61,6d_ik,0.22448979591836735,1,0.3816230951518842,1.3465019643114002,0.07582178750841838,0.31932503136435003,19.36660061104897,37.50096055259259,54.265214912159216,5.301999999999638
62,6d_ik,0.24489795918367346,1,0.38050755109144835,1.3112976676525767,0.07581532550608817,0.31643852781290904,18.33525482404363,37.50096055259259,51.37538401697025,5.301999999999638
63,6d_ik,0.2653061224489796,1,0.38292020697872886,1.2976659507211863,0.07630492497948362,0.3121311476805008,17.4335869655888,37.50096055259259,48.848910677579816,5.301999999999638
64,6d_ik,0.2857142857142857,1,0.3781657173403867,1.2976659507211863,0.07739505497427009,0.3257523789270031,16.148918246389716,37.50096055259259,45.249268926383984,5.301999999999638
65,6d_ik,0.30612244897959184,1,0.3814541959129802,1.2976659507211863,0.07617876388429201,0.31649959921499277,14.945228943048914,37.50096055259259,41.876531498423056,5.301999999999638
66,6d_ik,0.32653061224489793,1,0.38256493853121565,1.4172198030826302,0.07500629981848884,0.31339178166987364,14.498816909727019,37.50096055259259,40.62568498105511,5.301999999999638
67,6d_ik,0.3469387755102041,1,0.3880086366428904,1.4729563341701213,0.07515175011129502,0.313814890500218,14.06990155196463,37.50096055259259,39.42386414860489,5.301999999999638
68,6d_ik,0.3673469387755102,1,0.3861216772935705,1.304338232674246,0.07477654151174425,0.3045924932126529,13.27172272872781,37.50096055259259,37.18736708589532,5.301999999999638
69,6d_ik,0.3877551020408163,1,0.378981228780787,1.2976659507211863,0.07595444239800096,0.31368593485666785,12.405980183781901,37.50096055259259,34.76155647495689,5.301999999999638
70,6d_ik,0.40816326530612246,1,0.37875121978368653,1.2976659507211863,0.0756350588494896,0.3129543328541319,12.037532353132761,37.50096055259259,33.729165653478,5.301999999999638
71,6d_ik,0.42857142857142855,1,0.3827502833976618,1.2976659507211863,0.07558474515968751,0.3132981316715402,11.636831217623552,37.50096055259259,32.60640107178119,5.301999999999638
72,6d_ik,0.4489795918367347,1,0.3879664810205361,1.4234397189257686,0.07458501484447526,0.30448004907198806,10.903924386467649,37.50096055259259,30.552796130882353,5.301999999999638
73,6d_ik,0.46938775510204084,1,0.38627208970281707,1.3641437623572084,0.07495452481679907,0.3103909421726592,10.463977190972528,37.50096055259259,29.320064089105024,5.301999999999638
74,6d_ik,0.4897959183673469,1,0.38727402833789953,1.5458102251132932,0.07336936139123376,0.30252218588684376,10.008542788794067,37.50096055259259,28.043936894200975,5.301999999999638
75,6d_ik,0.5102040816326531,1,0.38062040216557563,1.2976659507211863,0.0753896555247805,0.3101587828051062,10.070691228503717,37.50096055259259,28.218076822267417,5.301999999999638
76,6d_ik,0.5306122448979592,1,0.37839584220841627,1.2976659507211863,0.07590724372461599,0.3111564206288142,9.432783292789587,37.50096055259259,26.430658786396425,5.301999999999638
77,6d_ik,0.5510204081632653,1,0.38245851845381096,1.2976659507211863,0.07558618938270092,0.3144628307872707,9.071636820429713,37.50096055259259,25.41872637084406,5.301999999999638
78,6d_ik,0.5714285714285714,1,0.38367228630179573,1.2976659507211863,0.07501533232837065,0.3124634677839942,8.808761586352698,37.50096055259259,24.682149964960264,5.301999999999638
79,6d_ik,0.5918367346938775,1,0.38551280588316045,1.3246303528376178,0.07578986932120536,0.31520128664286023,9.00525322307674,37.50096055259259,25.232719531061026,5.301999999999638
80,6d_ik,0.6122448979591837,1,0.3884939074395228,1.3097584559831619,0.07495399962242985,0.3037355654706607,8.55271153481662,37.50096055259259,23.96469772055617,5.301999999999638
81,6d_ik,0.6326530612244898,1,0.39382096359721336,1.4627576065169186,0.07528969010389625,0.3106024715055696,8.410455524116063,37.50096055259259,23.56609637857321,5.301999999999638
