t,lateral_acc_mag,jerk_mag,risk_rate,torque_norm
0.3780,16.597105,59965.559693,119947.716491,72.2663
0.3800,14.306961,76804.428055,153623.163071,173.1052
0.3820,83.663890,89992.393004,180068.449899,93.7893
0.3840,49.172060,100681.579417,201412.330893,157.4494
0.3860,48.034279,89795.391891,179638.818061,96.9170
0.3880,49.150748,89827.258728,179703.668203,148.2971
0.3900,48.053570,89804.285394,179656.624358,100.9567
0.3920,49.125106,89832.044322,179713.213750,146.5908
0.3940,42.628772,57250.991517,114544.611805,65.3795
0.3960,48.671449,44945.105679,89938.882807,138.2273
0.3980,83.327981,78449.381633,156982.091247,122.2761
0.4000,84.859815,113208.549710,226501.959236,129.1721
0.4020,77.641739,88281.665784,176640.973306,47.8610
0.4040,90.577779,84489.004926,169068.587630,174.6560
0.4060,76.425650,95926.357552,191929.140755,36.8492
0.4080,78.466268,106152.278446,212383.023160,174.6875
0.4100,76.439695,106180.350334,212437.140364,37.3383
0.4120,84.218020,86208.452138,172501.122296,125.0061
0.4140,86.469796,89652.983797,179392.437391,85.8572
0.4160,84.619452,106390.440324,212865.500101,166.0205
0.4180,83.462001,113203.927654,226491.317309,92.8475
0.4200,84.585393,113227.853518,226540.292429,154.6661
0.4220,83.454188,113201.478957,226486.412102,95.1016
0.4240,84.545688,113220.689267,226525.924222,151.8555
0.4260,77.826474,88238.789776,176555.406026,87.3697
0.4280,78.185095,87359.375924,174796.936944,159.3571
0.4300,76.532414,106068.781496,212214.095405,76.0993
0.4320,83.936016,86105.117471,172294.170957,139.1798
0.4340,83.565545,93998.988517,188081.542580,114.1875
0.4360,84.405105,113208.980889,226502.366883,133.7392
0.4380,77.919968,88229.169815,176536.259599,44.6626
0.4400,78.089086,87362.592795,174803.274677,174.8316
0.4420,76.665026,106082.244237,212241.153501,38.3548
0.4440,83.838845,86132.559434,172348.957713,125.8696
0.4460,83.732796,94018.545316,188120.823427,124.6314
0.4480,84.337568,113223.545227,226531.428022,126.0326
0.4500,86.449757,86497.642998,173081.735752,124.2809
0.4520,43.073880,82199.348019,164441.769919,148.4154
0.4540,40.995760,84063.248094,168167.491947,110.3681
0.4560,43.087398,84030.328455,168103.744308,154.0293
0.4580,41.020715,84072.496725,168186.014165,93.4308
0.4600,43.093868,84039.995355,168123.084579,155.9677
0.4620,41.039596,84077.932699,168196.904994,86.5318
0.4640,48.592897,54802.310905,109653.214707,145.1794
0.4660,83.375781,78502.995694,157089.367169,107.2148
0.4680,84.633984,113244.938210,226574.510404,138.3857
0.4700,77.708384,88263.492255,176604.692894,58.1858
0.4720,78.474094,87390.871826,174860.217746,170.9515
0.4740,76.573108,106103.678015,212283.929139,48.2376
0.4760,89.464271,82764.991279,165619.446829,134.9314
0.4780,83.561233,106467.372718,213018.306669,125.2495
0.4800,84.537046,113336.229416,226756.995878,126.1698
0.4820,83.562461,113317.628166,226718.818792,125.2841
0.4840,84.511544,113341.889335,226768.290214,129.7813
0.4860,77.943603,88328.041905,176734.027413,21.7621
